control_id,statement_id,description,export_provided,state,type,export_responsibility
ac-2.1,ac-2.1,Cloud service provider uses Active Directory to manage system accounts and privileges.,Active Directory is used to manage cloud service provider system accounts and privileges.,implemented,full,Automation is used to manage cloud service provider system accounts and privileges.
ac-2.2,ac-2.2,Cloud service provider removes temporary or emergency accounts after 24 hours of creation.,Temporary or emergency cloud service provider accounts are removed after a specific period of time.,implemented,full,Temporary or emergency cloud service provider accounts are removed according to the policy.
ac-2.3,ac-2.3,"Cloud service provider accounts are disabled within 24 hours when they have expired, are no longer associated with the user, are in violation of the account management policy, or have been inactive for 17 calendar days.","User accounts are disabled by the cloud service provider within a specific time frame, for specific reasons, or if inactive for a specific time frame.",implemented,full,Accounts are disabled according to cloud service provider policy.
ac-2.4,ac-2.4,"Cloud service provider system audit logs capture account creation, modification, enabling, disabling, and removal.",Cloud service provider system auditing captures specific events.,implemented,full,Audit logs capture events identified in the cloud service provider auditing policy.
ac-2.5,ac-2.5,"Cloud service provider requires users to log out if 5 minutes of inactivity will occur or if they are leaving their PC, laptop, or any networked device.",Cloud service provider requires users to log out from their systems if they are going to be inactive for a specific time frame or if they are leaving their systems.,implemented,full,Users are required to log out of their cloud service provider systems.
ac-2.13,ac-2.13,Cloud service provider user accounts are disabled by the system administrator within 1 hour after they are notified of unauthorized access. An account disabled verification e-mail is sent to the system owner.,Cloud service provider user accounts are disabled by the system administrator within specific time frame of notification and the system owner is notified.,implemented,full,System administrators disable cloud service provider user accounts when notified and a notification is sent.
ac-2,ac-2_smt.a,Cloud service provider account management policy identifies that only user and system administrator accounts will be allowed on the system.,Cloud service provider account management policy identifies users allowed on the system.,implemented,full,Account management policy identifies cloud service provider users allowed on the system.
ac-2,ac-2_smt.b,Cloud service provider account managers have been assigned.,Cloud service provider account managers have been assigned.,implemented,full,Cloud service provider account management roles have been assigned.
ac-2,ac-2_smt.c,Cloud service provider account requests include business need for the account.,Cloud service provider account requests include the need for the account.,implemented,full,The need for the account is identified in the cloud service provider account request.
ac-2,ac-2_smt.d,"Cloud service provider account requests include user of the system, their group and/or role membership, privileges, and the business need for the account.","Cloud service provider account request includes user information, their memberships and privileges, and the need for the account.",implemented,full,User information is included in the cloud service provider account request.
ac-2,ac-2_smt.e,Cloud service provider system owner approves requests to create accounts via e-mail.,Cloud service provider system owner approves the account.,implemented,full,Account approvals follow cloud service provider account management policy.
ac-2,ac-2_smt.f,"Cloud service provider account management policies and procedures are followed for creating, enabling modifying, disabling, and removing accounts. ",Cloud service provider account management policy and procedures include actions that can be taken.,implemented,full,Account management policy and procedures are followed for managing cloud service provider accounts.
